gene,disease
ACTA2,Moyamoya Disease 5
ACTA2,Multisystemic Smooth Muscle Dysfunction Syndrome
ACTA2,"Aortic Aneurysm, Familial Thoracic 6"
ACTA2,Familial Thoracic Aortic Aneurysm And Aortic Dissection
ACTB,Becker Nevus Syndrome
ACTB,Baraitser-Winter Syndrome 1
ACTB,Developmental Malformations-Deafness-Dystonia Syndrome
ACTB,"Congenital Smooth Muscle Hamartoma, With Or Without Hemihypertrophy"
ACTB,Actb-Associated Syndromic Thrombocytopenia
ACTC1,Primary Familial Hypertrophic Cardiomyopathy
ACTC1,Hypertrophic Cardiomyopathy 11
ACTC1,Dilated Cardiomyopathy 1R
ACTC1,Atrial Septal Defect 5
ACTC1,Primary Dilated Cardiomyopathy
ACTG1,Autosomal Dominant Nonsyndromic Hearing Loss 20
ACTG1,Baraitser-Winter Syndrome 2
ACTG1,Hereditary Hearing Loss And Deafness
ACTG2,Megacystis-Microcolon-Intestinal Hypoperistalsis Syndrome 5
ACTG2,Visceral Myopathy 1
ACTL6B,Intellectual Developmental Disorder With Severe Speech And Ambulation Defects
ACTL6B,"Developmental And Epileptic Encephalopathy, 76"
ACTL7A,Spermatogenic Failure 86
ACTL9,Spermatogenic Failure 53
ACTN1,Platelet-Type Bleeding Disorder 15
ACTN2,Primary Dilated Cardiomyopathy
ACTN2,"Myopathy, Congenital, With Structured Cores And Z-Line Abnormalities"
ACTN2,"Myopathy, Distal, 6, Adult-Onset, Autosomal Dominant"
ACTN2,Dilated Cardiomyopathy 1Aa
ACTN2,Primary Familial Hypertrophic Cardiomyopathy
ACTN3,Actn3 Deficiency
ACTN4,Focal Segmental Glomerulosclerosis 1
ACVR1,Progressive Myositis Ossificans
ACVR1B,Familial Pancreatic Carcinoma
ACVR2B,"Heterotaxy, Visceral, 4, Autosomal"
ACVRL1,"Telangiectasia, Hereditary Hemorrhagic, Type 2"
ACY1,Aminoacylase 1 Deficiency
ADA,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Negative, Due To Adenosine Deaminase Deficiency"
ADA2,Deficiency Of Adenosine Deaminase 2
ADA2,Sneddon Syndrome
ADAM10,Alzheimer Disease 18
ADAM10,Reticulate Acropigmentation Of Kitamura
ADAM17,"Inflammatory Skin And Bowel Disease, Neonatal, 1"
ADAM17,Hypotrichosis 16
ADAM22,"Developmental And Epileptic Encephalopathy, 61"
ADAM9,Cone-Rod Dystrophy 9
ADAMTS10,Weill-Marchesani Syndrome 1
ADAMTS13,Upshaw-Schulman Syndrome
ADAMTS15,"Arthrogryposis, Distal, Type 12"
ADAMTS17,"Weill-Marchesani 4 Syndrome, Recessive"
ADAMTS18,Microcornea-Myopic Chorioretinal Atrophy
ADAMTS19,Cardiac Valvular Dysplasia 2
ADAMTS2,"Ehlers-Danlos Syndrome, Dermatosparaxis Type"
ADAMTS3,Hennekam Lymphangiectasia-Lymphedema Syndrome 3
ADAMTS9,Nephronophthisis
ADAMTSL2,Geleophysic Dysplasia 1
ADAMTSL4,Ectopia Lentis Et Pupillae
ADAMTSL4,"Ectopia Lentis 2, Isolated, Autosomal Recessive"
ADAR,Symmetrical Dyschromatosis Of Extremities
ADAR,Aicardi-Goutieres Syndrome 6
ADARB1,"Neurodevelopmental Disorder With Hypotonia, Microcephaly, And Seizures"
ADAT3,Intellectual Disability-Strabismus Syndrome
ADCY1,Autosomal Recessive Nonsyndromic Hearing Loss 44
ADCY10,Familial Idiopathic Hypercalciuria
ADCY3,Body Mass Index Quantitative Trait Locus 19
ADCY5,Neurodevelopmental Disorder With Hyperkinetic Movements And Dyskinesia
ADCY5,"Dyskinesia With Orofacial Involvement, Autosomal Dominant"
ADCY5,"Dyskinesia With Orofacial Involvement, Autosomal Recessive"
ADCY6,Lethal Congenital Contracture Syndrome 8
ADD1,"Essential Hypertension, Genetic"
ADD3,"Cerebral Palsy, Spastic Quadriplegic, 3"
ADGRE2,Vibratory Urticaria
ADGRG1,Bilateral Frontoparietal Polymicrogyria
ADGRG1,"Polymicrogyria, Bilateral Perisylvian, Autosomal Recessive"
ADGRG2,"Vas Deferens, Congenital Bilateral Aplasia Of, X-Linked"
ADGRG6,Lethal Congenital Contracture Syndrome 9
ADGRL1,"Developmental Delay, Behavioral Abnormalities, And Neuropsychiatric Disorders"
ADGRV1,Usher Syndrome Type 2C
ADGRV1,"Febrile Seizures, Familial, 4"
ADH1B,Alcohol Dependence
ADH1C,Alcohol Dependence
ADH1C,"Parkinson Disease, Late-Onset"
ADH5,"Amed Syndrome, Digenic"
ADIPOQ,Adiponectin Deficiency
ADK,Adenosine Kinase Deficiency
ADNP,Adnp-Related Multiple Congenital Anomalies - Intellectual Disability - Autism Spectrum Disorder
ADPRS,"Neurodegeneration, Childhood-Onset, Stress-Induced, With Variable Ataxia And Seizures"
ADRA2A,"Lipodystrophy, Familial Partial, Type 8"
ADRB1,Resting Heart Rate
ADRB1,"Short Sleep, Familial Natural, 2"
ADRB3,Inherited Obesity
ADSL,Adenylosuccinate Lyase Deficiency
ADSS1,"Myopathy, Distal, 5"
AEBP1,"Ehlers-Danlos Syndrome, Classic-Like, 2"
AFF2,Fraxe
AFF3,Kinsship Syndrome
AFF4,Cognitive Impairment - Coarse Facies - Heart Defects - Obesity - Pulmonary Involvement - Short Stature - Skeletal Dysplasia Syndrome
AFG2A,Microcephaly-Intellectual Disability-Sensorineural Hearing Loss-Epilepsy-Abnormal Muscle Tone Syndrome
AFG2B,Neurodevelopmental Disorder With Hearing Loss And Spasticity
AFG2B,"Hearing Loss, Autosomal Recessive 119"
AFG3L2,Spinocerebellar Ataxia Type 28
AFG3L2,Optic Atrophy 12
AFG3L2,Spastic Ataxia 5
AFP,"Alpha-Fetoprotein, Hereditary Persistence Of"
AFP,Alpha-Fetoprotein Deficiency
AGA,Aspartylglucosaminuria
AGBL1,"Corneal Dystrophy, Fuchs Endothelial, 8"
AGBL5,Retinitis Pigmentosa 75
AGK,Sengers Syndrome
AGK,Cataract 38
