gene,disease
GRIA1,"Intellectual Developmental Disorder, Autosomal Dominant 67"
GRIA2,Neurodevelopmental Disorder With Language Impairment And Behavioral Abnormalities
GRIA3,Syndromic X-Linked Intellectual Disability 94
GRIA4,Neurodevelopmental Disorder With Or Without Seizures And Gait Abnormalities
GRID2,Autosomal Recessive Spinocerebellar Ataxia 18
GRIK2,"Intellectual Disability, Autosomal Recessive 6"
GRIK2,Neurodevelopmental Disorder With Impaired Language And Ataxia And With Or Without Seizures
GRIN1,"Neurodevelopmental Disorder With Or Without Hyperkinetic Movements And Seizures, Autosomal Recessive"
GRIN1,Developmental And Epileptic Encephalopathy 101
GRIN1,"Neurodevelopmental Disorder With Or Without Hyperkinetic Movements And Seizures, Autosomal Dominant"
GRIN2A,Landau-Kleffner Syndrome
GRIN2B,"Developmental And Epileptic Encephalopathy, 27"
GRIN2B,"Intellectual Disability, Autosomal Dominant 6"
GRIN2D,"Developmental And Epileptic Encephalopathy, 46"
GRIP1,Fraser Syndrome 3
GRK1,Oguchi Disease-2
GRM1,Autosomal Recessive Spinocerebellar Ataxia 13
GRM1,Spinocerebellar Ataxia 44
GRM6,Congenital Stationary Night Blindness 1B
GRM7,"Neurodevelopmental Disorder With Seizures, Hypotonia, And Brain Imaging Abnormalities"
GRN,Neuronal Ceroid Lipofuscinosis 11
GRN,Grn-Related Frontotemporal Lobar Degeneration With Tdp43 Inclusions
GRWD1,"Diarrhea 14, Congenital"
GRXCR1,Autosomal Recessive Nonsyndromic Hearing Loss 25
GRXCR2,Autosomal Recessive Nonsyndromic Hearing Loss 101
GSC,Short Stature-Auditory Canal Atresia-Mandibular Hypoplasia-Skeletal Anomalies Syndrome
GSDME,Autosomal Dominant Nonsyndromic Hearing Loss 5
GSDME,Hereditary Hearing Loss And Deafness
GSN,Finnish Type Amyloidosis
GSR,Hemolytic Anemia Due To Glutathione Reductase Deficiency
GSS,Glutathione Synthetase Deficiency Without 5-Oxoprolinuria
GSS,Glutathione Synthetase Deficiency With 5-Oxoprolinuria
GSTZ1,Maleylacetoacetate Isomerase Deficiency
GSX2,Diencephalic-Mesencephalic Junction Dysplasia Syndrome 2
GTF2E2,"Trichothiodystrophy 6, Nonphotosensitive"
GTF2H4,"Xeroderma Pigmentosum, Complementation Group J"
GTF2H5,"Trichothiodystrophy 3, Photosensitive"
GTF3C3,"Neurodevelopmental Disorder With Dysmorphic Facies, Brain Anomalies, And Seizures"
GTPBP1,Neurodevelopmental Disorder With Characteristic Facial And Ectodermal Features And Tetraparesis 1
GTPBP2,Jaberi-Elahi Syndrome
GTPBP3,Combined Oxidative Phosphorylation Defect Type 23
GUCA1A,Cone Dystrophy 3
GUCA1B,Retinitis Pigmentosa 48
GUCY1A1,Moyamoya Disease With Early-Onset Achalasia
GUCY2C,Intestinal Obstruction In The Newborn Due To Guanylate Cyclase 2C Deficiency
GUCY2C,Congenital Diarrhea 6
GUCY2D,Cone-Rod Dystrophy 6
GUCY2D,Leber Congenital Amaurosis 1
GUCY2D,"Night Blindness, Congenital Stationary, Type1I"
GUCY2D,"Choroidal Dystrophy, Central Areolar, 1"
GUF1,"Developmental And Epileptic Encephalopathy, 40"
GUK1,Mitochondrial Dna Depletion Syndrome 21
GUSB,Mucopolysaccharidosis Type 7
GYG1,Glycogen Storage Disease Xv
GYG1,Polyglucosan Body Myopathy Type 2
GYPA,"Malaria, Susceptibility To"
GYPA,"Blood Group, Mn"
GYPB,"Blood Group, Ss"
GYPB,"Malaria, Susceptibility To"
GYPC,"Malaria, Susceptibility To"
GYPC,"Blood Group, Gerbich System"
GYS1,Glycogen Storage Disease Due To Muscle And Heart Glycogen Synthase Deficiency
GYS2,Glycogen Storage Disorder Due To Hepatic Glycogen Synthase Deficiency
GZF1,"Joint Laxity, Short Stature, And Myopia"
H1-4,Rahman Syndrome
H19,Wilms Tumor 1
H19-ICR,Beckwith-Wiedemann Syndrome
H19-ICR,Silver-Russell Syndrome 1
H19-ICR,Wilms Tumor 2
H3-3A,Bryant-Li-Bhoj Neurodevelopmental Syndrome 1
H3-3B,Bryant-Li-Bhoj Neurodevelopmental Syndrome 2
H4C11,Tessadori-Van Haaften Neurodevelopmental Syndrome 2
H4C3,Tessadori-Van Haaften Neurodevelopmental Syndrome 1
H4C5,Tessadori-Van Haaften Neurodevelopmental Syndrome 3
H4C9,Tessadori-Van Haaften Neurodevelopmental Syndrome 4
H6PD,Cortisone Reductase Deficiency 1
HAAO,"Vertebral, Cardiac, Renal, And Limb Defects Syndrome 1"
HABP2,"Thyroid Cancer, Nonmedullary, 5"
HABP2,Thrombophilia Due To Thrombin Defect
HACD1,Congenital Myopathy 11
HACE1,Spastic Paraplegia-Severe Developmental Delay-Epilepsy Syndrome
HADH,"Hyperinsulinemic Hypoglycemia, Familial, 4"
HADH,Deficiency Of 3-Hydroxyacyl-Coa Dehydrogenase
HADHA,Mitochondrial Trifunctional Protein Deficiency 1
HADHA,Long Chain 3-Hydroxyacyl-Coa Dehydrogenase Deficiency
HADHA,Mitochondrial Trifunctional Protein Deficiency
HADHB,Mitochondrial Trifunctional Protein Deficiency
HADHB,Mitochondrial Trifunctional Protein Deficiency 2
HAGH,Hydroxyacyl Glutathione Hydrolase Deficiency
HAL,Histidinemia
HAMP,Hemochromatosis Type 2B
HAMP,Juvenile Hemochromatosis
HARS1,Autosomal Dominant Charcot-Marie-Tooth Disease Type 2W
HARS1,Charcot-Marie-Tooth Disease
HARS1,Usher Syndrome Type 3B
HARS2,Perrault Syndrome 2
HAVCR2,Subcutaneous Panniculitis-Like T-Cell Lymphoma
HAX1,Kostmann Syndrome
HBA1,Alpha Thalassemia
HBA1,"Erythrocytosis, Familial, 7"
HBA1,Hemoglobin H Disease
HBA1,Heinz Body Anemia
HBA1,"Methemoglobinemia, Alpha Type"
HBA2,Heinz Body Anemia
HBA2,Hemoglobin H Disease
HBA2,"Erythrocytosis, Familial, 7"
HBA2,Alpha Thalassemia
HBB,Hb Ss Disease
HBB,"Malaria, Susceptibility To"
HBB,"Erythrocytosis, Familial, 6"
HBB,Heinz Body Anemia
HBB,Dominant Beta-Thalassemia
HBB,Hereditary Persistence Of Fetal Hemoglobin
HBB,Beta-Thalassemia Hbb/Lcrb
HBB,Beta Thalassemia
HBB,"Methemoglobinemia, Beta Type"
HBB-LCR,Beta Thalassemia
HBB-LCR,Beta-Thalassemia Hbb/Lcrb
HBG1,Hereditary Persistence Of Fetal Hemoglobin
HBG2,Hereditary Persistence Of Fetal Hemoglobin
HBG2,"Cyanosis, Transient Neonatal"
HCCS,Linear Skin Defects With Multiple Congenital Anomalies 1
HCFC1,Disorders Of Intracellular Cobalamin Metabolism
HCFC1,"Methylmalonic Acidemia With Homocystinuria, Type Cblx"
HCK,Autoinflammation With Pulmonary And Cutaneous Vasculitis
HCN1,"Generalized Epilepsy With Febrile Seizures Plus, Type 10"
HCN1,"Developmental And Epileptic Encephalopathy, 24"
HCN2,"Epilepsy, Idiopathic Generalized, Susceptibility To, 17"
HCN4,"Sick Sinus Syndrome 2, Autosomal Dominant"
HCN4,"Epilepsy, Idiopathic Generalized, Susceptibility To, 18"
HCN4,Brugada Syndrome 8
HCRT,Narcolepsy 1
HDAC4,Chromosome 2Q37 Deletion Syndrome
HDAC4,Neurodevelopmental Disorder With Central Hypotonia And Dysmorphic Facies
HDAC6,"X-Linked Dominant Chondrodysplasia, Chassaing-Lacombe Type"
HDAC8,De Lange Syndrome
HDAC8,Cornelia De Lange Syndrome 5
HDAC9,Auriculocondylar Syndrome 4
HDC,Tourette Syndrome
HEATR3,Diamond-Blackfan Anemia 21
HECTD4,"Neurodevelopmental Disorder With Seizures, Spasticity, And Complete Or Partial Agenesis Of The Corpus Callosum"
HECW2,"Neurodevelopmental Disorder With Hypotonia, Seizures, And Absent Language"
HELLS,Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome 4
HEPACAM,Megalencephalic Leukoencephalopathy With Subcortical Cysts 2A
HEPACAM,Megalencephalic Leukoencephalopathy With Subcortical Cysts 1
HEPACAM,"Megalencephalic Leukoencephalopathy With Subcortical Cysts 2B, Remitting, With Or Without Intellectual Disability"
HEPACAM,Megalencephalic Leukoencephalopathy With Subcortical Cysts
HEPHL1,Pili Torti-Developmental Delay-Neurological Abnormalities Syndrome
HERC1,"Macrocephaly, Dysmorphic Facies, And Psychomotor Retardation"
HERC2,Prader-Willi Syndrome
HERC2,"Skin/Hair/Eye Pigmentation 1, Blue/Nonblue Eyes"
HERC2,Developmental Delay With Autism Spectrum Disorder And Gait Instability
HES7,"Spondylocostal Dysostosis 4, Autosomal Recessive"
HES7,Spondylocostal Dysostosis
HESX1,Septo-Optic Dysplasia Sequence
HESX1,Anophthalmia-Microphthalmia Syndrome
HEXA,Tay-Sachs Disease
HEXB,Sandhoff Disease
HFE,Hemochromatosis Type 1
HFM1,Premature Ovarian Failure 9
HGD,Alkaptonuria
HGF,Autosomal Recessive Nonsyndromic Hearing Loss 39
HGF,Hereditary Hearing Loss And Deafness
HGSNAT,"Mucopolysaccharidosis, Mps-Iii-C"
HGSNAT,Retinitis Pigmentosa 73
HHAT,Chondrodysplasia-Pseudohermaphroditism Syndrome
HIBCH,3-Hydroxyisobutyryl-Coa Hydrolase Deficiency
HID1,Developmental And Epileptic Encephalopathy 105 With Hypopituitarism
HIKESHI,Hypomyelinating Leukodystrophy 13
HINT1,Autosomal Recessive Axonal Neuropathy With Neuromyotonia
HINT1,Charcot-Marie-Tooth Disease
HIVEP2,"Intellectual Disability, Autosomal Dominant 43"
HJV,Juvenile Hemochromatosis
HJV,Hemochromatosis Type 2A
HK1,Retinitis Pigmentosa 79
HK1,Hemolytic Anemia Due To Hexokinase Deficiency
HK1,Neurodevelopmental Disorder With Visual Defects And Brain Anomalies
HK1,Charcot-Marie-Tooth Disease Type 4G
HKDC1,Retinitis Pigmentosa 92
HLA-A,Susceptibility To Severe Cutaneous Adverse Reaction
HLA-A,Carbamazepine Response
HLA-B,Carbamazepine Response
HLA-B,Susceptibility To Severe Cutaneous Adverse Reaction
HLA-B,Allopurinol Response
HLA-B,Abacavir Hypersensitivity
HLA-B,Carbamazepine Hypersensitivity
HLA-B,"Spondyloarthropathy, Susceptibility To, 1"
HLA-C,Susceptibility To Hiv Infection
HLA-C,"Psoriasis 1, Susceptibility To"
HLA-DQA1,"Celiac Disease, Susceptibility To, 1"
HLA-DQB1,"Celiac Disease, Susceptibility To, 1"
HLA-DQB1,Inherited Creutzfeldt-Jakob Disease
HLA-DQB1,"Multiple Sclerosis, Susceptibility To"
HLA-DRB1,"Multiple Sclerosis, Susceptibility To"
HLA-DRB1,"Sarcoidosis, Susceptibility To, 1"
HLA-G,Inherited Susceptibility To Asthma
HLCS,Holocarboxylase Synthetase Deficiency
HMBS,"Encephalopathy, Porphyria-Related"
HMBS,"Leukoencephalopathy, Porphyria-Related"
HMBS,Acute Intermittent Porphyria
HMCN1,Age Related Macular Degeneration 1
HMGA1,Type 2 Diabetes Mellitus
HMGA2,Silver-Russell Syndrome 5
HMGB3,X-Linked Colobomatous Microphthalmia-Microcephaly-Intellectual Disability-Short Stature Syndrome
HMGCL,Deficiency Of Hydroxymethylglutaryl-Coa Lyase
HMGCR,"Muscular Dystrophy, Limb-Girdle, Autosomal Recessive 28"
HMGCR,Low Density Lipoprotein Cholesterol Level Quantitative Trait Locus 3
HMGCS1,Congenital Myopathy 28 With Rigid Spine
HMGCS2,3-Hydroxy-3-Methylglutaryl-Coa Synthase Deficiency
HMMR,Familial Cancer Of Breast
HMOX1,Heme Oxygenase 1 Deficiency
HMOX1,Chronic Obstructive Pulmonary Disease
HMX1,Oculoauricular Syndrome
HNF1A,Diabetes Mellitus Type 1
HNF1A,"Hepatic Adenomas, Familial"
HNF1A,Maturity-Onset Diabetes Of The Young Type 3
HNF1A,Type 2 Diabetes Mellitus
HNF1A,Nonpapillary Renal Cell Carcinoma
HNF1A,Type 1 Diabetes Mellitus 20
HNF1B,Renal Cysts And Diabetes Syndrome
HNF1B,Nonpapillary Renal Cell Carcinoma
HNF1B,Type 2 Diabetes Mellitus
HNF4A,Type 2 Diabetes Mellitus
HNF4A,Familial Hyperinsulinism
HNF4A,Maturity-Onset Diabetes Of The Young Type 1
HNF4A,Fanconi Renotubular Syndrome 4 With Maturity-Onset Diabetes Of The Young
HNMT,Inherited Susceptibility To Asthma
HNMT,"Intellectual Disability, Autosomal Recessive 51"
HNRNPA1,Inclusion Body Myopathy With Paget Disease Of Bone And Frontotemporal Dementia
HNRNPA1,Amyotrophic Lateral Sclerosis Type 20
HNRNPA1,Inclusion Body Myopathy With Early-Onset Paget Disease With Or Without Frontotemporal Dementia 3
HNRNPA1,Finnish Upper Limb-Onset Distal Myopathy
HNRNPA2B1,Inclusion Body Myopathy With Early-Onset Paget Disease With Or Without Frontotemporal Dementia 2
HNRNPA2B1,Oculopharyngeal Muscular Dystrophy 2
HNRNPA2B1,Inclusion Body Myopathy With Paget Disease Of Bone And Frontotemporal Dementia
HNRNPC,"Intellectual Developmental Disorder, Autosomal Dominant 74"
HNRNPDL,Autosomal Dominant Limb-Girdle Muscular Dystrophy Type 1G
HNRNPH1,Neurodevelopmental Disorder With Craniofacial Dysmorphism And Skeletal Defects
HNRNPH2,"Intellectual Disability, X-Linked, Syndromic, Bain Type"
HNRNPK,Au-Kline Syndrome
HNRNPR,Neurodevelopmental Disorder With Dysmorphic Facies And Skeletal And Brain Abnormalities
HNRNPU,"Developmental And Epileptic Encephalopathy, 54"
HOGA1,Primary Hyperoxaluria Type 3
HOMER2,Autosomal Dominant Nonsyndromic Hearing Loss 68
HOXA1,Human Hoxa1 Syndromes
HOXA11,Radioulnar Synostosis With Amegakaryocytic Thrombocytopenia 1
HOXA13,Hand-Foot-Genital Syndrome
HOXA13,Guttmacher Syndrome
HOXA2,Bilateral Microtia-Deafness-Cleft Palate Syndrome
HOXB1,"Facial Paresis, Hereditary Congenital, 3"
HOXB13,"Prostate Cancer, Hereditary, 9"
HOXC13,"Ectodermal Dysplasia 9, Hair/Nail Type"
HOXD10,Congenital Vertical Talus
HOXD13,Synpolydactyly Type 1
HOXD13,Brachydactyly Type E1
HOXD13,Brachydactyly Type D
HOXD13,Brachydactyly-Syndactyly Syndrome
HOXD13,Syndactyly Type 5
HP,Anhaptoglobinemia
HPCA,Dystonic Disorder
HPCA,Torsion Dystonia 2
HPD,Tyrosinemia Type Iii
HPD,Hawkinsinuria
HPDL,Neurodevelopmental Disorder With Progressive Spasticity And Brain White Matter Abnormalities
HPDL,"Spastic Paraplegia 83, Autosomal Recessive"
HPGD,"Hypertrophic Osteoarthropathy, Primary, Autosomal Recessive, 1"
HPGD,Isolated Congenital Digital Clubbing
HPRT1,Lesch-Nyhan Syndrome
HPRT1,Partial Hypoxanthine-Guanine Phosphoribosyltransferase Deficiency
HPS1,Hermansky-Pudlak Syndrome 1
HPS3,Hermansky-Pudlak Syndrome 3
HPS4,Hermansky-Pudlak Syndrome 4
HPS5,Hermansky-Pudlak Syndrome 5
HPS6,Hermansky-Pudlak Syndrome 6
HPSE2,Urofacial Syndrome Type 1
HR,Alopecia Universalis Congenita
HR,Atrichia With Papular Lesions
HRAS,Epidermal Nevus
HRAS,Costello Syndrome
HRAS,Linear Nevus Sebaceous Syndrome
HRAS,"Thyroid Cancer, Nonmedullary, 2"
HRAS,Malignant Tumor Of Urinary Bladder
HRAS,Large Congenital Melanocytic Nevus
HRG,Hereditary Thrombophilia Due To Congenital Histidine-Rich (Poly-L) Glycoprotein Deficiency
HROB,Ovarian Dysgenesis 11
HRURF,Hypotrichosis 4
HS2ST1,Neurofacioskeletal Syndrome With Or Without Renal Agenesis
HS3ST6,"Angioedema, Hereditary, 8"
HS6ST1,Hypogonadotropic Hypogonadism 15 With Or Without Anosmia
HS6ST1,Hypogonadotropic Hypogonadism 7 With Or Without Anosmia
HS6ST2,Paganini-Miozzo Syndrome
HSCB,"Anemia, Sideroblastic, 5"
HSD11B1,Cortisone Reductase Deficiency 2
HSD11B2,Apparent Mineralocorticoid Excess
HSD17B10,Hsd10 Mitochondrial Disease
HSD17B13,"Fatty Liver Disease, Protection From"
HSD17B3,Testosterone 17-Beta-Dehydrogenase Deficiency
HSD17B4,Bifunctional Peroxisomal Enzyme Deficiency
HSD17B4,Perrault Syndrome 1
HSD3B2,3 Beta-Hydroxysteroid Dehydrogenase Deficiency
HSD3B7,Congenital Bile Acid Synthesis Defect 1
HSF2BP,Premature Ovarian Failure 19
HSF4,Cataract 5 Multiple Types
HSFY1,"Spermatogenic Failure, Y-Linked, 2"
HSPA9,Autosomal Dominant Sideroblastic Anemia
HSPA9,Even-Plus Syndrome
HSPB1,Charcot-Marie-Tooth Disease
HSPB1,"Neuronopathy, Distal Hereditary Motor, Type 2B"
HSPB1,Charcot-Marie-Tooth Disease Axonal Type 2F
HSPB3,"Neuronopathy, Distal Hereditary Motor, Type 2C"
HSPB3,Charcot-Marie-Tooth Disease
HSPB8,Charcot-Marie-Tooth Disease
HSPB8,"Myopathy, Myofibrillar, 13, With Rimmed Vacuoles"
HSPB8,Charcot-Marie-Tooth Disease Axonal Type 2L
HSPB8,"Neuronopathy, Distal Hereditary Motor, Type 2A"
HSPD1,Hereditary Spastic Paraplegia 13
HSPD1,Hypomyelinating Leukodystrophy 4
HSPG2,Schwartz-Jampel Syndrome Type 1
HSPG2,Lethal Kniest-Like Syndrome
HTR1A,Menstrual Cycle-Dependent Periodic Fever
HTR2A,Schizophrenia
HTR2A,Major Depressive Disorder
HTR2A,Obsessive-Compulsive Disorder
HTRA1,Carasil Syndrome
HTRA1,"Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts And Leukoencephalopathy, Type 2"
HTRA2,"Parkinson Disease 13, Autosomal Dominant, Susceptibility To"
HTRA2,3-Methylglutaconic Aciduria Type 8
HTT,Lopes-Maciel-Rodan Syndrome
HTT,Huntington Disease
HUWE1,"Intellectual Disability, X-Linked Syndromic, Turner Type"
HYAL1,Deficiency Of Hyaluronoglucosaminidase
HYAL2,Muggenthaler-Chowdhury-Chioza Syndrome
HYCC1,Hypomyelination And Congenital Cataract
HYDIN,Primary Ciliary Dyskinesia 5
HYLS1,Hydrolethalus Syndrome 1
HYMAI,"Diabetes Mellitus, Transient Neonatal, 1"
HYOU1,Granulocytopenia With Immunoglobulin Abnormality
IARS1,"Growth Retardation, Intellectual Developmental Disorder, Hypotonia, And Hepatopathy"
IARS2,Cataract-Growth Hormone Deficiency-Sensory Neuropathy-Sensorineural Hearing Loss-Skeletal Dysplasia Syndrome
IBA57,Hereditary Spastic Paraplegia 74
IBA57,Multiple Mitochondrial Dysfunctions Syndrome 3
ICAM1,"Malaria, Susceptibility To"
ICAM4,Landsteiner-Wiener Phenotype
ICOS,"Immunodeficiency, Common Variable, 1"
ICOS,"Immunodeficiency, Common Variable, 2"
ICOSLG,Immunodeficiency 119
IDH1,Glioma Susceptibility 1
IDH2,D-2-Hydroxyglutaric Aciduria 2
IDH3A,Retinitis Pigmentosa 90
IDH3B,Retinitis Pigmentosa 46
IDH3G,Retinitis Pigmentosa 99
IDS,"Mucopolysaccharidosis, Mps-Ii"
IDUA,Hurler Syndrome
IDUA,"Mucopolysaccharidosis, Mps-I-H/S"
IDUA,"Mucopolysaccharidosis, Mps-I-S"
IDUA,Mucopolysaccharidosis Type 1
IER3IP1,"Microcephaly, Epilepsy, And Diabetes Syndrome 1"
IFIH1,Immunodeficiency 95
IFIH1,Aicardi-Goutieres Syndrome 7
IFIH1,Singleton-Merten Syndrome 1
IFITM3,"Influenza, Severe, Susceptibility To"
IFITM5,Osteogenesis Imperfecta Type 5
IFNAR1,"Immunodeficiency 106, Susceptibility To Viral Infections"
IFNAR2,"Hepatitis B Virus, Susceptibility To"
IFNAR2,Immunodeficiency 45
IFNG,Tuberous Sclerosis 2
IFNG,Aplastic Anemia
IFNG,"Mycobacterium Tuberculosis, Susceptibility To"
IFNG,Immunodeficiency 69
IFNG,"Hepatitis C Virus, Susceptibility To"
IFNG,Susceptibility To Hiv Infection
IFNGR1,Autosomal Dominant Mendelian Susceptibility To Mycobacterial Diseases Due To Partial Ifngammar1 Deficiency
IFNGR1,"Hepatitis B Virus, Susceptibility To"
IFNGR1,Immunodeficiency 27A
IFNGR1,"Mycobacterium Tuberculosis, Susceptibility To"
IFNGR1,"Helicobacter Pylori Infection, Susceptibility To"
IFNGR2,Immunodeficiency 28
IFNL3,Simeprevir Response
IFNL3,Peginterferon Alfa-2B Response
IFNL3,Telaprevir Response
IFNL3,Ribavirin Response
IFNL3,Peginterferon Alfa-2A Response
IFNL3,"Hepatitis C Virus, Susceptibility To"
IFNL4,Sofosbuvir Response
IFT122,Cranioectodermal Dysplasia 1
IFT140,Cranioectodermal Dysplasia 5
IFT140,"Polycystic Kidney Disease 9, Susceptibility To"
IFT140,Saldino-Mainzer Syndrome
IFT140,Retinitis Pigmentosa 80
IFT172,Bardet-Biedl Syndrome 20
IFT172,Nephronophthisis
IFT172,Short-Rib Thoracic Dysplasia 10 With Or Without Polydactyly
IFT172,Retinitis Pigmentosa 71
IFT27,Bardet-Biedl Syndrome 19
IFT43,Short-Rib Thoracic Dysplasia 18 With Polydactyly
IFT43,Retinitis Pigmentosa 81
IFT43,Cranioectodermal Dysplasia 3
IFT52,Short-Rib Thoracic Dysplasia 16 With Or Without Polydactyly
IFT54,Senior-Loken Syndrome 9
IFT56,"Biliary, Renal, Neurologic, And Skeletal Syndrome"
IFT57,Orofaciodigital Syndrome 18
IFT74,Bardet-Biedl Syndrome 22
IFT74,Spermatogenic Failure 58
IFT74,Joubert Syndrome 40
IFT80,Asphyxiating Thoracic Dystrophy 2
IFT81,Short-Rib Thoracic Dysplasia 19 With Or Without Polydactyly
IGBP1,Corpus Callosum Agenesis-Intellectual Disability-Coloboma-Micrognathia Syndrome
IGF1,Growth Delay Due To Insulin-Like Growth Factor Type 1 Deficiency
IGF1R,Growth Delay Due To Insulin-Like Growth Factor I Resistance
IGF2,Beckwith-Wiedemann Syndrome
IGF2,Wilms Tumor 1
IGF2,Silver-Russell Syndrome 3
IGF2,Silver-Russell Syndrome 1
IGF2BP2,Type 2 Diabetes Mellitus
IGF2R,Hepatocellular Carcinoma
IGFALS,Short Stature Due To Primary Acid-Labile Subunit Deficiency
IGFBP7,Familial Retinal Arterial Macroaneurysm
IGHM,Autosomal Recessive Agammaglobulinemia 1
IGHMBP2,Charcot-Marie-Tooth Disease Type 2
IGHMBP2,Autosomal Recessive Distal Spinal Muscular Atrophy 1
IGHMBP2,Charcot-Marie-Tooth Disease
IGHMBP2,Charcot-Marie-Tooth Disease Axonal Type 2S
IGKC,Recurrent Infections Associated With Rare Immunoglobulin Isotypes Deficiency
IGLL1,"Agammaglobulinemia 2, Autosomal Recessive"
IGSF1,X-Linked Central Congenital Hypothyroidism With Late-Onset Testicular Enlargement
IGSF3,Familial Congenital Nasolacrimal Duct Obstruction
IHH,Brachydactyly Type A1
IHH,Acrocapitofemoral Dysplasia
IKBKB,Immunodeficiency 15A
IKBKB,Severe Combined Immunodeficiency Due To Ikk2 Deficiency
IKBKG,Immunodeficiency 33
IKBKG,Anophthalmia-Microphthalmia Syndrome
IKBKG,"Autoinflammatory Disease, X-Linked"
IKBKG,Incontinentia Pigmenti Syndrome
IKBKG,Ectodermal Dysplasia And Immunodeficiency 1
IKZF1,Pancytopenia Due To Ikzf1 Mutations
IKZF2,Ichad Syndrome
IKZF2,Immunodysregulation With Variable Immunodeficiency And Autoimmunity
IKZF3,Immunodeficiency 84
IKZF5,Thrombocytopenia 7
IL10,"Graft-Versus-Host Disease, Susceptibility To"
IL10,Susceptibility To Hiv Infection
IL10,Rheumatoid Arthritis
IL10RA,Inflammatory Bowel Disease 28
IL10RB,Inflammatory Bowel Disease 25
IL10RB,"Hepatitis B Virus, Susceptibility To"
IL11RA,Craniosynostosis And Dental Anomalies
IL12B,Mendelian Susceptibility To Mycobacterial Diseases Due To Complete Il12B Deficiency
IL12RB1,Mendelian Susceptibility To Mycobacterial Diseases Due To Complete Il12Rb1 Deficiency
IL13,Inherited Susceptibility To Asthma
IL13,"Allergic Rhinitis, Susceptibility To"
IL17F,"Candidiasis, Familial, 6"
IL17RA,Immunodeficiency 51
IL17RC,"Candidiasis, Familial, 9"
IL17RD,Hypogonadotropic Hypogonadism 18 With Or Without Anosmia
IL18BP,"Hepatitis, Fulminant Viral, Susceptibility To"
IL1B,Gastric Cancer
IL1R1,Chronic Recurrent Multifocal Osteomyelitis 3
IL1RAPL1,"Intellectual Disability, X-Linked 21"
IL1RN,Gastric Cancer
IL1RN,"Microvascular Complications Of Diabetes, Susceptibility To, 4"
IL1RN,Sterile Multifocal Osteomyelitis With Periostitis And Pustulosis
IL21,Il21-Related Infantile Inflammatory Bowel Disease
IL21R,Cryptosporidiosis-Chronic Cholangitis-Liver Disease Syndrome
IL23R,"Psoriasis 7, Susceptibility To"
IL23R,Inflammatory Bowel Disease 17
IL27RA,Immunodeficiency 134 (Epstein-Barr Virus-Specific)
IL2RA,Type 1 Diabetes Mellitus 10
IL2RA,Immunodeficiency Due To Cd25 Deficiency
IL2RB,Immunodeficiency 63 With Lymphoproliferation And Autoimmunity
IL2RG,X-Linked Severe Combined Immunodeficiency
IL2RG,"Combined Immunodeficiency, X-Linked"
IL31RA,"Amyloidosis, Primary Localized Cutaneous, 2"
IL36RN,Acrodermatitis Continua Suppurativa Of Hallopeau
IL37,"Inflammatory Bowel Disease (Infantile Ulcerative Colitis) 31, Autosomal Recessive"
IL6,Inflammatory Bowel Disease 1
IL6,Diabetes Mellitus Type 1
IL6,Cerebral Arteriovenous Malformation
IL6,Systemic-Onset Juvenile Idiopathic Arthritis
IL6,"Kaposi Sarcoma, Susceptibility To"
IL6,Type 2 Diabetes Mellitus
IL6R,"Soluble Interleukin-6 Receptor, Serum Level Of, Quantitative Trait Locus"
IL6R,"Interleukin 6, Serum Level Of, Quantitative Trait Locus"
IL6R,"Hyper-Ige Recurrent Infection Syndrome 5, Autosomal Recessive"
IL6ST,"Hyper-Ige Recurrent Infection Syndrome 4, Autosomal Recessive"
IL6ST,Immunodeficiency 94 With Autoinflammation And Dysmorphic Facies
IL6ST,"Hyper-Ige Recurrent Infection Syndrome 4A, Autosomal Dominant"
IL6ST,Stuve-Wiedemann Syndrome 2
IL7,"Epidermodysplasia Verruciformis, Susceptibility To, 5"
IL7R,Immunodeficiency 104
ILDR1,Autosomal Recessive Nonsyndromic Hearing Loss 42
IMPA1,"Intellectual Disability, Autosomal Recessive 59"
IMPDH1,Leber Congenital Amaurosis 11
IMPDH1,Retinitis Pigmentosa 10
IMPDH2,"Impdh2 Enzyme Activity, Variation In"
IMPG1,Vitelliform Macular Dystrophy 4
IMPG1,Benign Concentric Annular Macular Dystrophy
IMPG2,Retinitis Pigmentosa 56
IMPG2,Vitelliform Macular Dystrophy 5
INAVA,Inflammatory Bowel Disease 29
INF2,Focal Segmental Glomerulosclerosis 5
INF2,Charcot-Marie-Tooth Disease
INF2,Charcot-Marie-Tooth Disease Dominant Intermediate E
ING1,Squamous Cell Carcinoma Of The Head And Neck
INPP4A,"Neurodevelopmental Disorder With Growth Impairment, Quadriparesis, And Poor Or Absent Speech"
INPP5E,Joubert Syndrome 1
INPP5E,Morm Syndrome
INPP5K,Congenital Muscular Dystrophy With Cataracts And Intellectual Disability
INPPL1,Opsismodysplasia
INS,Hyperproinsulinemia
INS,Type 1 Diabetes Mellitus 2
INS,"Diabetes Mellitus, Permanent Neonatal 4"
INS,Permanent Neonatal Diabetes Mellitus
INS,Maturity-Onset Diabetes Of The Young Type 10
INSL3,Cryptorchidism
INSR,Rabson-Mendenhall Syndrome
